pipeline_id,pipeline_name,pipeline_category,status,authorization_regulation,operator_code,operator_name,authorization_date,authorized_length_km,operating_length_km,under_construction_km,capacity_mmscmd,capacity_verbatim,target_completion,states_covered_verbatim,pdf_table,pdf_row,source_document,in_graph_scope,notes
17.16.NGPL,Dabhol-Bangalore,Common Carrier,Under Construction,Reg 5/17/18,GAIL,,2011-11-14,1414.0,1148.0,266.0,16.0,,Feb 2013,"Maharashtra, Karnataka, Goa",T4_p19_UC_CC,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Target completion 'Feb 2013' precedes the report date; transcribed verbatim from the PDF. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.15.NGPL,Kochi-Koottanad-Bangalore-Mangalore,Common Carrier,Under Construction,Reg 5/17/18,GAIL,,2012-05-31,1104.0,646.0,458.0,16.0,,Dec 2025,"Kerala, Tamil Nadu, Karnataka, UT of Puducherry",T4_p19_UC_CC,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
5.08.NGPL,Ennore-Tuticorin,Common Carrier,Under Construction,Reg 5/17/18,IOCL,Indian Oil Corporation Limited,2015-12-10,1431.0,1094.0,337.0,84.67,,Mar 2025,"Tamil Nadu, Karnataka, Andhra Pradesh, UT of Puducherry",T4_p19_UC_CC,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
17.20.NGPL,Jagdishpur-Haldia-Bokaro Dhamra-Paradip-Barauni-Guwahati,Common Carrier,Under Construction,Reg 5/17/18,GAIL,,2018-01-29,3546.0,3279.0,267.0,23.0,,Dec 2025,"Uttar Pradesh, Bihar, Jharkhand, West Bengal, Odisha, Assam",T4_p19_UC_CC,7,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
42.01.NGPL,North-East Natural Gas Pipeline Grid,Common Carrier,Under Construction,Reg 5/17/18,IGGL,Indradhanush Gas Grid Limited,2020-11-17,1688.0,392.0,1296.0,4.75,,Mar 2026,"Assam, Mizoram, Manipur, Arunachal Pradesh, Tripura, Nagaland, Meghalaya & Sikkim, West Bengal",T4_p19_UC_CC,8,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
5.13.NGPL,Mumbai-Nagpur-Jharsuguda,Common Carrier,Under Construction,Reg 5/17/18,GAIL,,2020-05-15,1755.0,1182.0,573.0,16.5,,Dec 2025,"Maharashtra, Madhya Pradesh, Chhattisgarh and Odisha",T4_p19_UC_CC,9,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
5.12.NGPL,Srikakulam-Angul,Common Carrier,Under Construction,Reg 5/17/18,GAIL,,2019-07-23,690.0,422.0,268.0,6.65,,Dec 2025,"Andhra Pradesh, Odisha",T4_p19_UC_CC,10,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
5.07.NGPL,Ennore - Nellore,Common Carrier,Under Construction,Section 42,GTIL,,2014-12-02,220.0,,,36.0,,April 2020,"Andhra Pradesh, Tamil Nadu",T5_p14_UC_CC_S42,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"PDF p.14 reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
5.10.NGPL,Kakinada-Vijayawada-Nellore,Common Carrier,Under Construction,Section 42,IMC,IMC Limited,2018-02-19,667.0,,,18.0,,March 2024,Andhra Pradesh,T5_p14_UC_CC_S42,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"PDF p.14 reports no operating/under-construction split; those fields are NA, not zero."
5.11.NGPL,Kanai - Chhata - Panitar,Common Carrier,Under Construction,Section 42,HPPL,Hooghly Pipelines Private Limited,2019-07-08,317.0,,,19.2,,March 2024,West Bengal,T5_p14_UC_CC_S42,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"Dec-2025 name prints as 'Kanai - Chhata - Panitar'; 'Kanai Chhata' is a single place name, per the PNGRB NGPL register, 2 December 2022 release (https://www.pngrb.gov.in/data-bank/NGPL-02122022.pdf) which prints 'Kanai Chhata - Shrirampur'. Terminus amended Shrirampur -> Panitar by PNGRB in 2022. PDF p.14 reports no operating/under-construction split; those fields are NA, not zero."
21.17.NGPL,Jamnagar to Dwarka (Gujarat),Common Carrier,Under Construction,Section 42,GSPL,Gujarat State Petronet Limited,2021-08-19,100.0,,,3.0,,Oct 2026,Gujarat,T5_p14_UC_CC_S42,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"ID carries the 21.xx (tie-in) prefix but appears in the p.14 Common Carrier table. VERIFIED: the PNGRB NGPL register, 2 December 2022 release (https://www.pngrb.gov.in/data-bank/NGPL-02122022.pdf) lists this pipeline under the explicit heading 'Under Construction Common Carrier Natural Gas Pipelines'. Classification is therefore stated by the source, not inferred from the p.1 total. PDF p.14 reports no operating/under-construction split; those fields are NA, not zero."
5.14.NGPL,Hazaribagh-Ranchi,Common Carrier,Under Construction,Section 42,IOCL,Indian Oil Corporation Limited,2023-02-09,71.0,,,1.03,,February 2026,Jharkhand,T5_p14_UC_CC_S42,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"PDF p.14 reports no operating/under-construction split; those fields are NA, not zero."
5.15.NGPL,Gurdaspur-Jammu,Common Carrier,Under Construction,Section 42,GAIL,,2023-07-12,160.0,,,3.1,,July 2026,"UT of Jammu & Kashmir, Punjab",T5_p14_UC_CC_S42,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"PDF p.14 reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
21.09.NGPL,"ONGC's Odelarevu terminal, Mallavaram connecting KVNPL",Tie-in,Under Construction,Reg 5/17/18,IMC,IMC Limited,2019-09-06,49.1,,,18.0,,Sept 2022,Andhra Pradesh,T6_p15_UC_TieIn,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
21.10.NGPL,"GSPL's proposed Terminal at Petronet LNG Limited re-gasification expansion facilities, Dahej to GSPL's existing Terminal at Bhadbhut",Tie-in,Under Construction,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2019-09-17,36.0,,,14.77,,May 2026,Gujarat,T6_p15_UC_TieIn,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
21.12.NGPL,Proposed LNG Terminal at Karaikal Port to Chemplast/PPCL on existing Narimanam-Kuthalam Natural Gas Pipeline Sub-Network of GAIL's Cauvery Basin Network,Tie-in,Under Construction,Reg 5/17/18,AGPKLPL,AGP Karaikal LNG Private Limited,2020-07-24,8.0,,,2.0,,July 2023,Tamil Nadu and UT of Puducherry,T6_p15_UC_TieIn,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
21.14.NGPL,ONGC's Jharia CBM Block to SV-28 on Dobhi-Durgapur Section of JHBDPL,Tie-in,Under Construction,Reg 5/17/18,GAIL,,2021-08-19,6.0,,,0.87,,Mar 2025,Jharkhand,T6_p15_UC_TieIn,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
21.16.NGPL,"Swan LNG Private Limited's FSRU based LNG Terminal at Jafrabad to GPPC Terminal, Jafrabad falling on Darod-Jafrabad section of GSPL's HPGGG",Tie-in,Under Construction,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2021-08-19,3.0,,,18.0,,Aug 2024,Gujarat,T6_p15_UC_TieIn,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
21.22.NGPL,Swan LNG Private Limited's RLNG Terminal at Jafrabad to Hadala falling on Gana-Hadala section of GSPL's HPGGG,Tie-in,Under Construction,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2021-12-31,198.0,,,18.0,,Dec 2024,Gujarat,T6_p15_UC_TieIn,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
21.18.NGPL,Swan LNG Private Limited's RLNG Terminal at Jafrabad to GAIL's terminal at Dahej connecting to its integrated HVJ,Tie-in,Under Construction,Reg 5/17/18,GAIL,,2021-12-31,170.0,,,7.0,,Dec 2024,Gujarat,T6_p15_UC_TieIn,7,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
21.20.NGPL,EPS 1 of Jharia Block I to SV-28 on Dobhi-Durgapur Section of JHBDPL,Tie-in,Under Construction,Reg 5/17/18,PEPL,,2022-10-28,9.0,,,0.79,,Mar 2026,Jharkhand,T6_p15_UC_TieIn,8,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
21.21.NGPL,ONGC's Raniganj CBM Block to GAIL's JHBDPL Network,Tie-in,Under Construction,Reg 5/17/18,GAIL,,2023-11-30,28.81,,,0.47,,Nov 2026,West Bengal,T6_p15_UC_TieIn,9,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
19.30.NGPL,INOLE to Pashamylaram,Dedicated,Under Construction,Reg 5/17/18,APCPL,Astha Power Corporation Private Limited,2012-12-14,14.6,,,1.5,,NA,Telangana,T7_p16_UC_Ded,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
19.40.NGPL,"PLL Re-gasification Terminal, Dahej to SUGEN Power Plant",Dedicated,Under Construction,Reg 5/17/18,TPL,Torrent Power Limited,2020-03-20,90.0,,,6.5,,NA,Gujarat,T7_p16_UC_Ded,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
19.42.NGPL,"PLL to OPaL, Dahej",Dedicated,Under Construction,Reg 5/17/18,OPaL,ONGC Petro addition Limited,2020-03-20,17.0,,,3.32,,NA,Gujarat,T7_p16_UC_Ded,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"PDF reports no operating/under-construction split; those fields are NA, not zero."
